!SIL 1.0	SIL
<UNK> 1.0	SPN
sulamunu 1.0	s u l a m u n u 
sulicadayi 1.0	s u l i c a d a y i 
sulyεli 1.0	s u l y ε l i 
sun 1.0	s u n 
sunhwle 1.0	s u n h w l e 
sunmi 1.0	s u n m i 
sunnu 1.0	s u n n u 
sunnuglegbenu 1.0	s u n n u g l e g b e n u 
sunvi 1.0	s u n v i 
sunvisεkple 1.0	s u n v i s ε k p l e 
sunwajixwe 1.0	s u n w a j i x w e 
sunwajizan 1.0	s u n w a j i z a n 
susu 1.0	s u s u 
susunɔ 1.0	s u s u n ɔ 
susuɖaxonɔ 1.0	s u s u ɖ a x o n ɔ 
suu 1.0	s u u 
suwaxi 1.0	s u w a x i 
suwaa 1.0	s u w a a 
suulu 1.0	s u u l u 
suuluɖiɖo 1.0	s u u l u ɖ i ɖ o 
suɖunu 1.0	s u ɖ u n u 
suɖunumawutɔ 1.0	s u ɖ u n u m a w u t ɔ 
suɖutɔ 1.0	s u ɖ u t ɔ 
swe 1.0	s w e 
syan 1.0	s y a n 
syɔ 1.0	s y ɔ 
syεn 1.0	s y ε n 
syεnlin 1.0	s y ε n l i n 
syεnsyεn 1.0	s y ε n s y ε n 
sabo 1.0	s a b o 
savo 1.0	s a v o 
safu 1.0	s a f u 
selidji 1.0	s e l i d j i 
sebla 1.0	s e b l a 
seblabla 1.0	s e b l a b l a 
segban 1.0	s e g b a n 
sekunɔ 1.0	s e k u n ɔ 
senukwεn 1.0	s e n u k w ε n 
sese 1.0	s e s e 
sinbla 1.0	s i n b l a 
siin 1.0	s i i n 
sija 1.0	s i j a 
siklu 1.0	s i k l u 
singbo 1.0	s i n g b o 
sinsinsinsin 1.0	s i n s i n s i n s i n 
sinu 1.0	s i n u 
sinunu 1.0	s i n u n u 
sisɔkε 1.0	s i s ɔ k ε 
sisɔsisɔ 1.0	s i s ɔ s i s ɔ 
sisε 1.0	s i s ε 
site 1.0	s i t e 
sitε 1.0	s i t ε 
siwu 1.0	s i w u 
siyεn 1.0	s i y ε n 
sobwe 1.0	s o b w e 
sogbɔ 1.0	s o g b ɔ 
sokan 1.0	s o k a n 
sokanmεji 1.0	s o k a n m ε j i 
sokanmεnu 1.0	s o k a n m ε n u 
sokpo 1.0	s o k p o 
solu 1.0	s o l u 
solutin 1.0	s o l u t i n 
sonufεnu 1.0	s o n u f ε n u 
sonuvinu 1.0	s o n u v i n u 
sosyεn 1.0	s o s y ε n 
soxo 1.0	s o x o 
sozan 1.0	s o z a n 
supipu 1.0	s u p i p u 
sufu 1.0	s u f u 
suki 1.0	s u k i 
sunnusin 1.0	s u n n u s i n 
sunnuvi 1.0	s u n n u v i 
sunnuxwe 1.0	s u n n u x w e 
sunsun 1.0	s u n s u n 
susi 1.0	s u s i 
suzi 1.0	s u z i 
sɔ 1.0	s ɔ 
sɔgba 1.0	s ɔ g b a 
sɔgbe 1.0	s ɔ g b e 
sɔja 1.0	s ɔ j a 
sɔjagan 1.0	s ɔ j a g a n 
sɔjahwan 1.0	s ɔ j a h w a n 
sɔjakanwekogan 1.0	s ɔ j a k a n w e k o g a n 
sɔkpo 1.0	s ɔ k p o 
sɔlεku 1.0	s ɔ l ε k u 
sɔn 1.0	s ɔ n 
sɔnu 1.0	s ɔ n u 
sɔtinme 1.0	s ɔ t i n m e 
sɔtoci 1.0	s ɔ t o c i 
sɔvi 1.0	s ɔ v i 
sɔwayi 1.0	s ɔ w a y i 
sɔxwixwe 1.0	s ɔ x w i x w e 
sɔxatɔ 1.0	s ɔ x a t ɔ 
sɔxu 1.0	s ɔ x u 
sɔyi 1.0	s ɔ y i 
sɔnuɖa 1.0	s ɔ n u ɖ a 
sɔjahwangbε 1.0	s ɔ j a h w a n g b ε 
sɔjakanɖo 1.0	s ɔ j a k a n ɖ o 
sɔnyiji 1.0	s ɔ n y i j i 
sε 1.0	s ε 
sεda 1.0	s ε d a 
sεdavɔ 1.0	s ε d a v ɔ 
sεdawu 1.0	s ε d a w u 
sεdlu 1.0	s ε d l u 
sεdlutin 1.0	s ε d l u t i n 
sεmεɖo 1.0	s ε m ε ɖ o 
sεn 1.0	s ε n 
sεngan 1.0	s ε n g a n 
sεnxwi 1.0	s ε n x w i 
sεxwe 1.0	s ε x w e 
sεya 1.0	s ε y a 
sεbɔ 1.0	s ε b ɔ 
sεdlukpo 1.0	s ε d l u k p o 
sεdluxwlε 1.0	s ε d l u x w l ε 
sεdluxɔ 1.0	s ε d l u x ɔ 
sεgbo 1.0	s ε g b o 
sεjiwusi 1.0	s ε j i w u s i 
sεkple 1.0	s ε k p l e 
sεkpɔ 1.0	s ε k p ɔ 
sεkpεyɔli 1.0	s ε k p ε y ɔ l i 
sεla 1.0	s ε l a 
sεli 1.0	s ε l i 
sεlusaxi 1.0	s ε l u s a x i 
sεlaxi 1.0	s ε l a x i 
sεlεdi 1.0	s ε l ε d i 
sεlεki 1.0	s ε l ε k i 
sεlεti 1.0	s ε l ε t i 
sεlεticaha 1.0	s ε l ε t i c a h a 
sεmu 1.0	s ε m u 
sεnflinmε 1.0	s ε n f l i n m ε 
sεngbatɔ 1.0	s ε n g b a t ɔ 
sεnkplɔnmεtɔ 1.0	s ε n k p l ɔ n m ε t ɔ 
sεnmlɔ 1.0	s ε n m l ɔ 
sεnnεε 1.0	s ε n n ε ε 
sεntici 1.0	s ε n t i c i 
sεnu 1.0	s ε n u 
sεnwema 1.0	s ε n w e m a 
sεnwεnlεn 1.0	s ε n w ε n l ε n 
sεniyɔ 1.0	s ε n i y ɔ 
sεti 1.0	s ε t i 
sεtɔ 1.0	s ε t ɔ 
sεxlo 1.0	s ε x l o 
sεε 1.0	s ε ε 
t 1.0	t 
ta 1.0	t a 
taa 1.0	t a a 
taacici 1.0	t a a c i c i 
taala 1.0	t a a l a 
taapεlu 1.0	t a a p ε l u 
taasisi 1.0	t a a s i s i 
taasisinu 1.0	t a a s i s i n u 
taataku 1.0	t a a t a k u 
tabati 1.0	t a b a t i 
tabawɔti 1.0	t a b a w ɔ t i 
tabita 1.0	t a b i t a 
tabla 1.0	t a b l a 
tablanu 1.0	t a b l a n u 
tabɔɔ 1.0	t a b ɔ ɔ 
tadumɔɔ 1.0	t a d u m ɔ ɔ 
tadunɔ 1.0	t a d u n ɔ 
tadu 1.0	t a d u 
tafu 1.0	t a f u 
tafati 1.0	t a f a t i 
tafεti 1.0	t a f ε t i 
taga 1.0	t a g a 
tagba 1.0	t a g b a 
tagbanɔ 1.0	t a g b a n ɔ 
tagbesɔ 1.0	t a g b e s ɔ 
taglo 1.0	t a g l o 
tahoun 1.0	t a h o u n 
tahun 1.0	t a h u n 
taji 1.0	t a j i 
takin 1.0	t a k i n 
taksikwε 1.0	t a k s i k w ε 
takwε 1.0	t a k w ε 
taka 1.0	t a k a 
takago 1.0	t a k a g o 
talala 1.0	t a l a l a 
taligbe 1.0	t a l i g b e 
taligbegbadahwe 1.0	t a l i g b e g b a d a h w e 
talon 1.0	t a l o n 
talumayi 1.0	t a l u m a y i 
talumɔni 1.0	t a l u m ɔ n i 
talea 1.0	t a l e a 
taleala 1.0	t a l e a l a 
tamalisi 1.0	t a m a l i s i 
tamalisitin 1.0	t a m a l i s i t i n 
tame 1.0	t a m e 
tamumuzi 1.0	t a m u m u z i 
tamaa 1.0	t a m a a 
tamaxi 1.0	t a m a x i 
tamε 1.0	t a m ε 
tamεbibɔ 1.0	t a m ε b i b ɔ 
tamεlinkpɔn 1.0	t a m ε l i n k p ɔ n 
tamεlinlin 1.0	t a m ε l i n l i n 
tamεmasɔgbe 1.0	t a m ε m a s ɔ g b e 
tamεmasɔgbenanɔ 1.0	t a m ε m a s ɔ g b e n a n ɔ 
tamεtitɔ 1.0	t a m ε t i t ɔ 
tan 1.0	t a n 
tanaki 1.0	t a n a k i 
tanakinu 1.0	t a n a k i n u 
tanatisiloo 1.0	t a n a t i s i l o o 
tanton 1.0	t a n t o n 
tantɔn 1.0	t a n t ɔ n 
tanxumεti 1.0	t a n x u m ε t i 
tananɔ 1.0	t a n a n ɔ 
taoun 1.0	t a o u n 
tapanεsi 1.0	t a p a n ε s i 
tapanεsinu 1.0	t a p a n ε s i n u 
tapuwaxi 1.0	t a p u w a x i 
tasyεn 1.0	t a s y ε n 
tasuna 1.0	t a s u n a 
tatunayi 1.0	t a t u n a y i 
taun 1.0	t a u n 
taveela 1.0	t a v e e l a 
tavlimumɔni 1.0	t a v l i m u m ɔ n i 
tavo 1.0	t a v o 
taveyεlu 1.0	t a v e y ε l u 
tawun 1.0	t a w u n 
taxati 1.0	t a x a t i 
taxileya 1.0	t a x i l e y a 
taxipenεsi 1.0	t a x i p e n ε s i 
taxaci 1.0	t a x a c i 
taxani 1.0	t a x a n i 
taɖagbevodun 1.0	t a ɖ a g b e v o d u n 
taɖu 1.0	t a ɖ u 
taɖuhunhun 1.0	t a ɖ u h u n h u n 
taɖumε 1.0	t a ɖ u m ε 
taɖunɔ 1.0	t a ɖ u n ɔ 
taɖunɔnu 1.0	t a ɖ u n ɔ n u 
taɖunɔxo 1.0	t a ɖ u n ɔ x o 
tatagbe 1.0	t a t a g b e 
tchi 1.0	t c h i 
tchie 1.0	t c h i e 
te 1.0	t e 
tedasi 1.0	t e d a s i 
tein 1.0	t e i n 
tekowa 1.0	t e k o w a 
tekowanu 1.0	t e k o w a n u 
telasaa 1.0	t e l a s a a 
telayimu 1.0	t e l a y i m u 
telebεntitin 1.0	t e l e b ε n t i t i n 
temani 1.0	t e m a n i 
temaninu 1.0	t e m a n i n u 
ten 1.0	t e n 
tenkpon 1.0	t e n k p o n 
tennen 1.0	t e n n e n 
tentin 1.0	t e n t i n 
tenwe 1.0	t e n w e 
teofilu 1.0	t e o f i l u 
tevaliyahu 1.0	t e v a l i y a h u 
tevesi 1.0	t e v e s i 
tevεti 1.0	t e v ε t i 
texina 1.0	t e x i n a 
the 1.0	t h e 
thi 1.0	t h i 
ti 1.0	t i 
tiatii 1.0	t i a t i i 
tibεliadi 1.0	t i b ε l i a d i 
ticibeenu 1.0	t i c i b e e n u 
ticiku 1.0	t i c i k u 
tidealu 1.0	t i d e a l u 
tifusaxi 1.0	t i f u s a x i 
tiglatipilesεε 1.0	t i g l a t i p i l e s ε ε 
tiii 1.0	t i i i 
tiin 1.0	t i i n 
tikwa 1.0	t i k w a 
tikɔni 1.0	t i k ɔ n i 
tilaasi 1.0	t i l a a s i 
tilaka 1.0	t i l a k a 
tileatii 1.0	t i l e a t i i 
tilia 1.0	t i l i a 
tilanɔsi 1.0	t i l a n ɔ s i 
tilɔni 1.0	t i l ɔ n i 
timothe 1.0	t i m o t h e 
timuna 1.0	t i m u n a 
timunanu 1.0	t i m u n a n u 
timunatisεlaxi 1.0	t i m u n a t i s ε l a x i 
timunatixεlεsi 1.0	t i m u n a t i x ε l ε s i 
timɔtee 1.0	t i m ɔ t e e 
timɔɔ 1.0	t i m ɔ ɔ 
tin 1.0	t i n 
tinmε 1.0	t i n m ε 
tintin 1.0	t i n t i n 
tisi 1.0	t i s i 
tisinu 1.0	t i s i n u 
titewungbe 1.0	t i t e w u n g b e 
titigweti 1.0	t i t i g w e t i 
titiwusijusitusi 1.0	t i t i w u s i j u s i t u s i 
tito 1.0	t i t o 
titu 1.0	t i t u 
titɔkpa 1.0	t i t ɔ k p a 
tivuni 1.0	t i v u n i 
tivuxati 1.0	t i v u x a t i 
tlala 1.0	t l a l a 
tlifɔsu 1.0	t l i f ɔ s u 
tlifεnu 1.0	t l i f ε n u 
tlitli 1.0	t l i t l i 
tlofimu 1.0	t l o f i m u 
tlowasi 1.0	t l o w a s i 
tlowasinu 1.0	t l o w a s i n u 
tlele 1.0	t l e l e 
tli 1.0	t l i 
tlili 1.0	t l i l i 
tlo 1.0	t l o 
tlolo 1.0	t l o l o 
tlu 1.0	t l u 
tlɔ 1.0	t l ɔ 
tlɔlɔ 1.0	t l ɔ l ɔ 
tlε 1.0	t l ε 
tlεn 1.0	t l ε n 
tlεnɔ 1.0	t l ε n ɔ 
to 1.0	t o 
toboo 1.0	t o b o o 
tobotobo 1.0	t o b o t o b o 
tobutobu 1.0	t o b u t o b u 
toce 1.0	t o c e 
toceme 1.0	t o c e m e 
tocteetoclee 1.0	t o c t e e t o c l e e 
tocɔkpe 1.0	t o c ɔ k p e 
tocɔtɔ 1.0	t o c ɔ t ɔ 
tocɔxɔ 1.0	t o c ɔ x ɔ 
todɔnfunlεntɔ 1.0	t o d ɔ n f u n l ε n t ɔ 
tofɔligbe 1.0	t o f ɔ l i g b e 
tofɔligbegbadahwe 1.0	t o f ɔ l i g b e g b a d a h w e 
tofɔligbezanzanhwe 1.0	t o f ɔ l i g b e z a n z a n h w e 
tofɔzeɖotetɔ 1.0	t o f ɔ z e ɖ o t e t ɔ 
tofεli 1.0	t o f ε l i 
tofεti 1.0	t o f ε t i 
togan 1.0	t o g a n 
togbe 1.0	t o g b e 
togbesɔ 1.0	t o g b e s ɔ 
togo 1.0	t o g o 
togotogo 1.0	t o g o t o g o 
togoun 1.0	t o g o u n 
togudo 1.0	t o g u d o 
togume 1.0	t o g u m e 
togun 1.0	t o g u n 
togunciems 1.0	t o g u n c i e m s 
togunmc 1.0	t o g u n m c 
togunme 1.0	t o g u n m e 
togaama 1.0	t o g a a m a 
togaamanu 1.0	t o g a a m a n u 
tohomin 1.0	t o h o m i n 
tohu 1.0	t o h u 
tokplegbasa 1.0	t o k p l e g b a s a 
tokpletεn 1.0	t o k p l e t ε n 
tokpoctokpo 1.0	t o k p o c t o k p o 
tokpazi 1.0	t o k p a z i 
tokpɔn 1.0	t o k p ɔ n 
tokpɔngan 1.0	t o k p ɔ n g a n 
tokpɔnla 1.0	t o k p ɔ n l a 
tokpɔnlagan 1.0	t o k p ɔ n l a g a n 
tokwε 1.0	t o k w ε 
tokati 1.0	t o k a t i 
tokεni 1.0	t o k ε n i 
tola 1.0	t o l a 
toladi 1.0	t o l a d i 
toligbo 1.0	t o l i g b o 
tolixɔsu 1.0	t o l i x ɔ s u 
tololo 1.0	t o l o l o 
tomin 1.0	t o m i n 
tomε 1.0	t o m ε 
tomεxo 1.0	t o m ε x o 
tomεyitɔ 1.0	t o m ε y i t ɔ 
ton 1.0	t o n 
tonme 1.0	t o n m e 
tonou 1.0	t o n o u 
tonu 1.0	t o n u 
tonuklajεtɔ 1.0	t o n u k l a j ε t ɔ 
tonukun 1.0	t o n u k u n 
tonunywe 1.0	t o n u n y w e 
tonɔn 1.0	t o n ɔ n 
too 1.0	t o o 
tosi 1.0	t o s i 
tota 1.0	t o t a 
totaligbe 1.0	t o t a l i g b e 
totaligbegbadahwe 1.0	t o t a l i g b e g b a d a h w e 
totaligbezanzanhwe 1.0	t o t a l i g b e z a n z a n h w e 
totεmε 1.0	t o t ε m ε 
touhoutou 1.0	t o u h o u t o u 
tovi 1.0	t o v i 
tovikenme 1.0	t o v i k e n m e 
toviya 1.0	t o v i y a 
toviyahu 1.0	t o v i y a h u 
towe 1.0	t o w e 
towewε 1.0	t o w e w ε 
towungoɖo 1.0	t o w u n g o ɖ o 
towunɖo 1.0	t o w u n ɖ o 
toxo 1.0	t o x o 
toxocticlo 1.0	t o x o c t i c l o 
toxomεnu 1.0	t o x o m ε n u 
toxoɖɔgbε 1.0	t o x o ɖ ɔ g b ε 
toxoɖɔtɔ 1.0	t o x o ɖ ɔ t ɔ 
toxɔsu 1.0	t o x ɔ s u 
toyi 1.0	t o y i 
toaxi 1.0	t o a x i 
toon 1.0	t o o n 
toɖevomε 1.0	t o ɖ e v o m ε 
toɖevomεnu 1.0	t o ɖ e v o m ε n u 
toɖevo 1.0	t o ɖ e v o 
trolo 1.0	t r o l o 
tre 1.0	t r e 
tsnms 1.0	t s n m s 
tu 1.0	t u 
tubalu 1.0	t u b a l u 
tubalukanyεε 1.0	t u b a l u k a n y ε ε 
tubalunu 1.0	t u b a l u n u 
tulu 1.0	t u l u 
tumimu 1.0	t u m i m u 
tun 1.0	t u n 
tunnu 1.0	t u n n u 
tunta 1.0	t u n t a 
tunwun 1.0	t u n w u n 
tunwuntunwun 1.0	t u n w u n t u n w u n 
tuto 1.0	t u t o 
tuun 1.0	t u u n 
twikii 1.0	t w i k i i 
taasi 1.0	t a a s i 
taasinu 1.0	t a a s i n u 
tafutafu 1.0	t a f u t a f u 
tanmε 1.0	t a n m ε 
tantɔngɔ 1.0	t a n t ɔ n g ɔ 
tata 1.0	t a t a 
tataboli 1.0	t a t a b o l i 
tegbe 1.0	t e g b e 
teningbe 1.0	t e n i n g b e 
telele 1.0	t e l e l e 
tema 1.0	t e m a 
tete 1.0	t e t e 
tewun 1.0	t e w u n 
tintεnngbe 1.0	t i n t ε n n g b e 
titomε 1.0	t i t o m ε 
titɔtɔ 1.0	t i t ɔ t ɔ 
tigli 1.0	t i g l i 
tii 1.0	t i i 
tiilana 1.0	t i i l a n a 
tiinu 1.0	t i i n u 
tiisa 1.0	t i i s a 
tila 1.0	t i l a 
tintɔn 1.0	t i n t ɔ n 
tintεn 1.0	t i n t ε n 
tita 1.0	t i t a 
titafu 1.0	t i t a f u 
titi 1.0	t i t i 
titε 1.0	t i t ε 
toci 1.0	t o c i 
tocikplatɔ 1.0	t o c i k p l a t ɔ 
tocivi 1.0	t o c i v i 
todɔnnumε 1.0	t o d ɔ n n u m ε 
todɔnnumεzan 1.0	t o d ɔ n n u m ε z a n 
tofwe 1.0	t o f w e 
tofi 1.0	t o f i 
togwle 1.0	t o g w l e 
tokpa 1.0	t o k p a 
tokunɔ 1.0	t o k u n ɔ 
tokuse 1.0	t o k u s e 
tokɔ 1.0	t o k ɔ 
tokε 1.0	t o k ε 
toli 1.0	t o l i 
tonumase 1.0	t o n u m a s e 
tonumasetɔ 1.0	t o n u m a s e t ɔ 
tonuse 1.0	t o n u s e 
tonusise 1.0	t o n u s i s e 
totlitɔ 1.0	t o t l i t ɔ 
tototo 1.0	t o t o t o 
tovinu 1.0	t o v i n u 
towun 1.0	t o w u n 
towuntowun 1.0	t o w u n t o w u n 
toxomε 1.0	t o x o m ε 
tunfla 1.0	t u n f l a 
tuntun 1.0	t u n t u n 
tɔ 1.0	t ɔ 
tɔcyɔvi 1.0	t ɔ c y ɔ v i 
tɔdema 1.0	t ɔ d e m a 
tɔdo 1.0	t ɔ d o 
tɔdokpo 1.0	t ɔ d o k p o 
tɔdomε 1.0	t ɔ d o m ε 
tɔgba 1.0	t ɔ g b a 
tɔgbo 1.0	t ɔ g b o 
tɔhwin 1.0	t ɔ h w i n 
tɔhe 1.0	t ɔ h e 
tɔin 1.0	t ɔ i n 
tɔjinɔji 1.0	t ɔ j i n ɔ j i 
tɔji 1.0	t ɔ j i 
tɔjigbingbɔn 1.0	t ɔ j i g b i n g b ɔ n 
tɔjihun 1.0	t ɔ j i h u n 
tɔjihunglintεn 1.0	t ɔ j i h u n g l i n t ε n 
tɔjihunkuntɔ 1.0	t ɔ j i h u n k u n t ɔ 
tɔju 1.0	t ɔ j u 
tɔjɔtεn 1.0	t ɔ j ɔ t ε n 
tɔjɔtεnhɔntogbo 1.0	t ɔ j ɔ t ε n h ɔ n t o g b o 
tɔjɔtεnsin 1.0	t ɔ j ɔ t ε n s i n 
tɔkanlin 1.0	t ɔ k a n l i n 
tɔkpa 1.0	t ɔ k p a 
tɔka 1.0	t ɔ k a 
tɔkago 1.0	t ɔ k a g o 
tɔli 1.0	t ɔ l i 
tɔlintɔ 1.0	t ɔ l i n t ɔ 
tɔlinu 1.0	t ɔ l i n u 
tɔmaa 1.0	t ɔ m a a 
tɔn 1.0	t ɔ n 
tɔnnuhweci 1.0	t ɔ n n u h w e c i 
tɔnu 1.0	t ɔ n u 
tɔnuwatɔ 1.0	t ɔ n u w a t ɔ 
tɔsisa 1.0	t ɔ s i s a 
tɔto 1.0	t ɔ t o 
tɔtɔ 1.0	t ɔ t ɔ 
tɔtεntin 1.0	t ɔ t ε n t i n 
tɔtεntinto 1.0	t ɔ t ε n t i n t o 
tɔtεntinyikungban 1.0	t ɔ t ε n t i n y i k u n g b a n 
tɔvi 1.0	t ɔ v i 
tɔvu 1.0	t ɔ v u 
tɔvuadoniya 1.0	t ɔ v u a d o n i y a 
tɔwu 1.0	t ɔ w u 
tɔxwe 1.0	t ɔ x w e 
tɔxε 1.0	t ɔ x ε 
tɔyizεn 1.0	t ɔ y i z ε n 
tɔzan 1.0	t ɔ z a n 
tɔzɔ 1.0	t ɔ z ɔ 
tɔzɔwatɔ 1.0	t ɔ z ɔ w a t ɔ 
tɔgbɔ 1.0	t ɔ g b ɔ 
tɔwe 1.0	t ɔ w e 
tɔwε 1.0	t ɔ w ε 
tɔɔn 1.0	t ɔ ɔ n 
tε 1.0	t ε 
tεbu 1.0	t ε b u 
tεli 1.0	t ε l i 
tεmε 1.0	t ε m ε 
tεnkpɔn 1.0	t ε n k p ɔ n 
tεnnε 1.0	t ε n n ε 
tεnnεgɔ 1.0	t ε n n ε g ɔ 
tεntin 1.0	t ε n t i n 
tεnwe 1.0	t ε n w e 
tεnwegɔ 1.0	t ε n w e g ɔ 
tεgba 1.0	t ε g b a 
tεgbε 1.0	t ε g b ε 
tεgε 1.0	t ε g ε 
tεlumεlaxi 1.0	t ε l u m ε l a x i 
tεluxaaca 1.0	t ε l u x a a c a 
tεluxacaa 1.0	t ε l u x a c a a 
tεla 1.0	t ε l a 
tεlaxi 1.0	t ε l a x i 
tεlεci 1.0	t ε l ε c i 
tεlεmu 1.0	t ε l ε m u 
tεmεtεm 1.0	t ε m ε t ε m 
tεn 1.0	t ε n 
tεndo 1.0	t ε n d o 
tεngbe 1.0	t ε n g b e 
tεnmε 1.0	t ε n m ε 
tεnmεtεnm 1.0	t ε n m ε t ε n m 
tεnmεtεnmε 1.0	t ε n m ε t ε n m ε 
tεnwinlεnwin 1.0	t ε n w i n l ε n w i n 
tεsaloniki 1.0	t ε s a l o n i k i 
tεsalonikinu 1.0	t ε s a l o n i k i n u 
tεtiwusi 1.0	t ε t i w u s i 
tεtulusi 1.0	t ε t u l u s i 
tεvaxi 1.0	t ε v a x i 
tεvi 1.0	t ε v i 
tεεn 1.0	t ε ε n 
u 1.0	u 
uidah 1.0	u i d a h 
ulii 1.0	u l i i 
un 1.0	u n 
under 1.0	u n d e r 
unde 1.0	u n d e 
untε 1.0	u n t ε 
used 1.0	u s e d 
utu 1.0	u t u 
uu 1.0	u u 
uzalu 1.0	u z a l u 
uzine 1.0	u z i n e 
va 1.0	v a 
vami 1.0	v a m i 
van 1.0	v a n 
vankan 1.0	v a n k a n 
vannyaa 1.0	v a n n y a a 
vantankannya 1.0	v a n t a n k a n n y a 
vasitii 1.0	v a s i t i i 
vatε 1.0	v a t ε 
vawun 1.0	v a w u n 
vaxi 1.0	v a x i 
ve 1.0	v e 
verbu 1.0	v e r b u 
vi 1.0	v i 
vijiji 1.0	v i j i j i 
vilε 1.0	v i l ε 
vin 1.0	v i n 
vino 1.0	v i n o 
vinyɔde 1.0	v i n y ɔ d e 
vinεgli 1.0	v i n ε g l i 
vio 1.0	v i o 
vitikli 1.0	v i t i k l i 
vito 1.0	v i t o 
viton 1.0	v i t o n 
vivi 1.0	v i v i 
vivo 1.0	v i v o 
vivotεn 1.0	v i v o t ε n 
vivu 1.0	v i v u 
vive 1.0	v i v e 
vivɔ 1.0	v i v ɔ 
vivɔnu 1.0	v i v ɔ n u 
vivε 1.0	v i v ε 
viwun 1.0	v i w u n 
vii 1.0	v i i 
vla 1.0	v l a 
vlafo 1.0	v l a f o 
vlankan 1.0	v l a n k a n 
vlivli 1.0	v l i v l i 
vlevle 1.0	v l e v l e 
vlɔ 1.0	v l ɔ 
vlɔn 1.0	v l ɔ n 
vlɔnkan 1.0	v l ɔ n k a n 
vlɔɖowe 1.0	v l ɔ ɖ o w e 
vlɔɖowo 1.0	v l ɔ ɖ o w o 
vlε 1.0	v l ε 
vlεvlε 1.0	v l ε v l ε 
vo 1.0	v o 
voci 1.0	v o c i 
vodungbe 1.0	v o d u n g b e 
vodun 1.0	v o d u n 
vodunkpe 1.0	v o d u n k p e 
vodunnɔ 1.0	v o d u n n ɔ 
vodunsinsεn 1.0	v o d u n s i n s ε n 
vodunsεntɔ 1.0	v o d u n s ε n t ɔ 
vodunwu 1.0	v o d u n w u 
vodunxwe 1.0	v o d u n x w e 
vodunxɔ 1.0	v o d u n x ɔ 
vodunzun 1.0	v o d u n z u n 
vogbingbɔn 1.0	v o g b i n g b ɔ n 
volontary 1.0	v o l o n t a r y 
vosisa 1.0	v o s i s a 
votee 1.0	v o t e e 
vovo 1.0	v o v o 
vun 1.0	v u n 
vunvun 1.0	v u n v u n 
vanyavanya 1.0	v a n y a v a n y a 
vehu 1.0	v e h u 
vinu 1.0	v i n u 
vinɔ 1.0	v i n ɔ 
visu 1.0	v i s u 
viva 1.0	v i v a 
vivεna 1.0	v i v ε n a 
voee 1.0	v o e e 
vu 1.0	v u 
viboɖo 1.0	v i b o ɖ o 
viflεkεn 1.0	v i f l ε k ε n 
vihεntɔ 1.0	v i h ε n t ɔ 
vitɔ 1.0	v i t ɔ 
vivɔgba 1.0	v i v ɔ g b a 
viwenɔ 1.0	v i w e n ɔ 
viwundo 1.0	v i w u n d o 
viwunfyɔnnu 1.0	v i w u n f y ɔ n n u 
viwungbo 1.0	v i w u n g b o 
viwungbεtɔ 1.0	v i w u n g b ε t ɔ 
viwungle 1.0	v i w u n g l e 
viwunglecɔtɔ 1.0	v i w u n g l e c ɔ t ɔ 
viwunglejikpɔntɔ 1.0	v i w u n g l e j i k p ɔ n t ɔ 
viwunhan 1.0	v i w u n h a n 
viwunkan 1.0	v i w u n k a n 
viwunma 1.0	v i w u n m a 
viwunsinsεngbigbε 1.0	v i w u n s i n s ε n g b i g b ε 
viwunsinsεngbεtɔ 1.0	v i w u n s i n s ε n g b ε t ɔ 
viwunto 1.0	v i w u n t o 
viwuntuntɔ 1.0	v i w u n t u n t ɔ 
viwuntin 1.0	v i w u n t i n 
viɖaxo 1.0	v i ɖ a x o 
viɖokponɔ 1.0	v i ɖ o k p o n ɔ 
viεnεnɔ 1.0	v i ε n ε n ɔ 
vovolivwe 1.0	v o v o l i v w e 
vɔ 1.0	v ɔ 
vɔda 1.0	v ɔ d a 
vɔtɔ 1.0	v ɔ t ɔ 
vɔvɔ 1.0	v ɔ v ɔ 
vɔvɔnɔbakεn 1.0	v ɔ v ɔ n ɔ b a k ε n 
vɔnu 1.0	v ɔ n u 
vɔsakpe 1.0	v ɔ s a k p e 
vɔsanuxwlemawutɔ 1.0	v ɔ s a n u x w l e m a w u t ɔ 
vɔsanu 1.0	v ɔ s a n u 
vɔsanumawutɔ 1.0	v ɔ s a n u m a w u t ɔ 
vɔsanuxwlemawutɔgan 1.0	v ɔ s a n u x w l e m a w u t ɔ g a n 
vɔsanuxwlemawutɔzɔ 1.0	v ɔ s a n u x w l e m a w u t ɔ z ɔ 
vɔsanuxwlemawuzɔ 1.0	v ɔ s a n u x w l e m a w u z ɔ 
vɔsatɔ 1.0	v ɔ s a t ɔ 
vɔsisa 1.0	v ɔ s i s a 
vε 1.0	v ε 
vεgo 1.0	v ε g o 
vεgokan 1.0	v ε g o k a n 
vεwunkan 1.0	v ε w u n k a n 
vεεn 1.0	v ε ε n 
vεεnhεnnu 1.0	v ε ε n h ε n n u 
vεεnkɔfu 1.0	v ε ε n k ɔ f u 
vεnavεna 1.0	v ε n a v ε n a 
vεdo 1.0	v ε d o 
vεsin 1.0	v ε s i n 
vεvε 1.0	v ε v ε 
w 1.0	w 
wa 1.0	w a 
wadɔ 1.0	w a d ɔ 
wagbɔ 1.0	w a g b ɔ 
wahi 1.0	w a h i 
waji 1.0	w a j i 
walo 1.0	w a l o 
walocte 1.0	w a l o c t e 
